name,pop,lat,lng
Podgorica,145850,42.466,19.2663
Moroni,128698,-11.7042,43.2402
Sri Jayewardenepura Kotte,115826,6.9,79.95
Praia,113364,14.9167,-23.5167
Male,112927,4.1667,73.4999
Juba,111975,4.83,31.58
Luxembourg,107260,49.6117,6.13
Thimphu,98676,27.473,89.639
Mbabane,90138,-26.3167,31.1333
São Tomé,88219,0.3334,6.7333
Honiara,76328,-9.438,159.9498
Oranjestad,68775,12.5304,-70.029
Apia,61916,-13.8415,-171.7386
Andorra la Vella,53998,42.5,1.5165
Kingstown,49485,13.1483,-61.2121
Port-Vila,44040,-17.7334,168.3166
Banjul,43094,13.4539,-16.5917
Nuku‘alofa,42620,-21.1385,-175.2206
Castries,37963,14.002,-61
Monaco,36371,43.7396,7.4069
Vaduz,36281,47.1337,9.5167
Saint John’s,35499,17.118,-61.85
Saint George’s,33734,12.0526,-61.7416
Victoria,33576,-4.6166,55.45
San Marino,29579,43.9172,12.4667
Tarawa,28802,1.3382,173.0176
Majuro,25400,7.103,171.38
Roseau,23336,15.301,-61.387
Basseterre,21887,17.302,-62.717
Belmopan,15220,17.252,-88.7671
Pago Pago,12576,-14.274,-170.7046
Lobamba,9782,-26.4667,31.2
Funafuti,4749,-8.5167,179.2166
Palikir,4645,6.9166,158.15
Capitol Hill,2500,15.2137,145.7546
Hagåtña,1051,13.4745,144.7504
Al Quds,,31.7764,35.2269
Philipsburg,,18.0255,-63.045
Gitega,,-3.4271,29.9246
Pristina,,42.6666,21.1724
Ngerulmud,,7.5,134.6242
Aden,1000000,12.7797,45.0095
Cochabamba,1000000,-17.41,-66.17
Yongzhou,1000000,26.2304,111.62
Baoshan,1000000,25.12,99.15
Quảng Hà,1000000,16.06,108.25
Kitaku,997536,33.8704,130.82
Perm’,997000,58,56.25
Ahvāz,996000,31.28,48.72
Jodhpur,995000,26.2918,73.0168
San Luis Potosí,992000,22.17,-101
Odesa,991000,46.49,30.71
Yinchuan,991000,38.468,106.273
Jiaxing,988000,30.7704,120.75
Joinvile,988000,-26.32,-48.8399
Donets’k,988000,48,37.83
Guilin,987000,25.28,110.28
Dahūk,986000,36.8667,43
Volgograd,984000,48.71,44.5
Guwāhāti,983000,26.16,91.77
Yichun,982000,27.8333,114.4
Yangquan,981448,37.87,113.57
Natal,980588,-6.9838,-60.2699
Chandigarh,979000,30.72,76.78
Gwalior,978000,26.23,78.1801
Hamamatsu,977023,34.7181,137.7327
Qom,973000,34.65,50.95
Jixi,965000,45.3,130.97
Mérida,965000,20.9666,-89.6166
Xin’an,962656,34.38,118.35
Querétaro,961000,20.63,-100.38
Pingxiang,961000,27.62,113.85
João Pessoa,956000,-7.1011,-34.8761
Klang,956000,3.0204,101.55
Jinzhou,956000,41.1204,121.1
Oklahoma City,955998,35.4676,-97.5137
Salerno,954265,40.6804,14.7699
Thiruvananthapuram,954000,8.5,76.95
Calicut,953000,11.2504,75.77
Trichinopoly,951000,10.81,78.69
Ogbomoso,951000,8.13,4.24
General Santos,950530,6.1108,125.1747
Huế,950000,16.47,107.58
Bacolod,949354,10.6317,122.9817
Nantong,947000,32.0304,120.825
Foshan,943000,23.0301,113.12
Sŏngnam,942000,37.4386,127.1378
Bridgeport,938406,41.1918,-73.1953
Nice,927000,43.715,7.265
Buffalo,926261,42.9017,-78.8487
Erbil,926000,36.179,44.0086
Krasnoyarsk,925000,56.014,92.866
Olinda,921840,-8,-34.85
Antwerp,920000,51.2204,4.415
Konya,919000,37.875,32.475
Bogor,918000,-6.57,106.75
Hartford,914751,41.7661,-72.6834
Huaibei,913000,33.9504,116.75
Xinyu,913000,27.8,114.93
Teresina,907000,-5.095,-42.78
Naha,905238,26.2072,127.673
Goyang,903000,37.6527,126.8372
Nangandao,903000,35.3204,113.87
Yibin,902000,28.77,104.57
Aba,897560,5.1004,7.35
Maiduguri,896000,11.85,13.16
Az Zarqā’,894691,32.07,36.1
Tarsus,894318,36.9204,34.88
Bengbu,894000,32.95,117.33
Mendoza,893000,-32.8833,-68.8166
Hubli,890000,15.36,75.125
Concepción,889725,-36.83,-73.05
Zaria,889000,11.08,7.71
Dengtalu,887000,36.08,114.35
